ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2300.674377040326,428.92520077187066,-1880.9036754896715
ID204,C,2961.6865784895363,395.10098626502156,-2556.6186386786394
ID734,C,2531.1925243106575,367.3703803823103,-2153.187625755883
ID422,B,2349.447506983058,391.0144943960336,4690.569513243702
ID559,C,1919.3078478234943,415.50613781838024,-1491.9420461045675
ID432,A,2442.982529575201,416.96362337329833,5261.072669803804
ID337,B,2406.518948126994,397.24131250079296,4822.8205306921
ID347,C,3081.9510913348304,406.054426262343,-2679.0758987303
ID774,C,2483.4812012767534,424.0898713975671,-2040.3498086518896
ID142,B,3090.0849793474526,384.0640518186541,6188.140458938008
ID892,B,1175.8433578060801,409.76577049414556,2379.700337520085
ID898,B,2437.315479594171,406.4141802652834,4861.0989547678855
ID345,B,2824.5835271395654,398.7111149560134,5650.650400046141
ID290,A,2824.9423003189986,397.88241461843467,6473.966761199338
ID853,B,2528.354106372174,423.84999472430246,5053.58659774744
ID581,C,2680.639280935175,373.1733883933555,-2317.9714645481786
ID602,A,2103.54378955757,412.4867152249762,4232.030332754804
ID179,A,2514.4213714487164,398.8621186486469,5550.067701085138
ID584,A,2753.1352471610103,390.15364462044886,6292.973810318214
ID707,A,2467.873224754261,411.11484870908794,5370.9878191386915
ID154,A,2885.029422086977,417.57264335051303,6535.803155163468
ID442,A,2658.874466542402,418.43728461195997,5883.25545289338
ID849,C,3006.929463900152,390.8250743391484,-2624.119717097072
ID119,A,2011.9612280672754,359.9181397937529,4231.574149965975
ID790,A,2559.9550007223133,389.22814463013805,5718.606917457622
ID619,C,2061.1483950855377,390.6368251710934,-1669.0285497798768
ID488,C,2123.8463342142245,400.8357855828396,-1732.847311442967
ID554,A,2541.062681610965,410.0581519869198,5556.662398573213
ID259,A,2805.0905219744395,399.06211895292876,6442.615237654989
ID873,B,2499.5562964986198,427.31939454660824,4988.4530846688995
ID697,B,3282.3678887694746,377.4465922904084,6569.046772937251
ID701,C,2610.068734499405,427.0690200288001,-2163.7601679725835
ID416,C,3076.641470312406,394.4470586638744,-2689.6900362843485
ID338,B,2205.820958829389,419.45138729402106,4424.933976563211
ID224,B,2076.977100713022,393.82454285029576,4156.327005873011
ID227,C,2638.8411044045865,411.800681286524,-2240.3015387647774
ID107,B,2348.6316984652585,374.0501518983155,4708.668579675354
ID127,A,2900.316714708275,386.3955668884335,6786.0269529423
ID309,B,2207.549680244677,410.0655061457379,4427.539756858296
ID477,C,2976.604234575495,401.7199504304058,-2586.448617044804
ID655,B,2564.11565636555,417.3150971513469,5135.368501090081
ID257,A,3042.2946836770743,402.12053868764485,7111.885039267212
ID261,C,2213.1770450319,404.0563692688563,-1798.280960291478
ID181,B,2322.7394828876495,388.0641941003114,4655.347396286219
ID313,B,2257.0270848468185,412.772395308812,4526.164423735467
ID141,C,2508.0647434440034,438.274109480898,-2078.4494088175875
ID434,B,2296.4633752262266,386.87915857303807,4602.0684106304225
ID757,C,2700.7120184744886,395.97053234842616,-2287.8346152411664
ID156,A,2497.4949502810005,391.526632631663,5528.194049800341
ID893,B,3085.9956525227035,409.2366808187632,6187.297546617727
ID310,A,2521.1246642880737,395.7340731295511,5607.522703752168
ID272,B,2818.649093019955,411.24259290527516,5622.030149527376
ID117,B,2333.9773491937653,400.3164550511598,4675.964114807411
ID794,B,2605.0018849879352,440.0832114606293,5225.753733112236
ID459,C,2153.0503771633576,379.23578449667025,-1770.9618753679326
ID408,A,2483.632713144397,405.2078957771104,5418.884222925667
ID489,A,2766.654463774354,396.81677291156564,6314.967858123629
ID125,B,2671.154170247529,396.300279355016,5331.141853467352
ID476,C,2745.5535413816187,405.3786968463345,-2340.551605518741
ID134,B,2759.731952326003,402.02785986567693,5522.575970396407
ID403,A,2513.0026254983336,410.89551409000984,5477.016732719368
ID212,C,2562.384153188278,386.3864509152153,-2196.6392935050103
ID878,C,2451.8626652983694,409.9902929028122,-2022.348346508723
ID640,B,2710.1871511775,402.28799466393076,5433.397671061277
ID366,C,2676.360038560304,396.26691752325286,-2276.157478037656
ID220,B,2612.1477167843977,373.5193905652411,5232.395840035557
ID710,B,2569.3309170939965,402.88078104763576,5131.126509989445
ID616,C,2409.706111170596,399.1977388220283,-1995.7163744745758
ID333,A,2947.479497997767,425.6094998093009,6702.147784990783
ID547,A,1799.984275935501,392.9776741849411,3442.4025373015256
ID455,B,2631.2574039797273,371.1951069554964,5257.575959002511
ID534,A,2511.9533055032875,418.56881234282463,5440.104965873059
ID180,C,2893.5394852782365,398.41205891299404,-2511.628112663
ID254,A,2678.6288902203446,405.27815289185145,6007.651076184219
ID556,A,2685.654087029331,405.57914674506645,6031.52785899325
ID496,A,2176.7782538832216,411.1415412633995,4503.366458769159
